id,title,abstract,soft_labels_l1,relevant_children_l1,reasoning_l1,soft_labels_l2,relevant_children_l2,reasoning_l2,soft_labels_l3,relevant_children_l3,reasoning_l3
2492,Compensation of physiological motion using linear predictive force control,"This paper proposes a new approach to compensate the physiological motion, induced by respiration and heart beating, for robotized minimally invasive cardiac surgery. The control algorithm, based on a linear predictive control, uses the effort information applied on the heart by the instrument.","General and reference:0.0,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.3,Theory of computation:0.1,Mathematics of computing:0.2,Information systems:0.1,Security and privacy:0.0,Human-centered computing:0.1,Computing methodologies:0.5,Applied computing:1.0,Social and professional topics:0.0",Applied computing,"Applied computing is central to the medical robotics application. Computing methodologies is relevant for the control algorithm, but Applied computing is the primary domain. Other categories are irrelevant to the healthcare context.","Arts and humanities:0.1,Computer forensics:0.1,Computers in other domains:0.2,Document management and text processing:0.1,Education:0.1,Electronic commerce:0.1,Enterprise computing:0.1,Law, social and behavioral sciences:0.1,Life and medical sciences:0.9,Operations research:0.2,Physical sciences and engineering:0.2",Life and medical sciences,Life and medical sciences is highly relevant as the paper presents a robotic control solution for cardiac surgery. Other categories like physical sciences and engineering are less relevant as the focus is on medical application rather than general engineering principles.,"Bioinformatics:0.0,Computational biology:0.0,Consumer health:0.0,Genetics:0.0,Genomics:0.0,Health care information systems:0.0,Health informatics:0.0,Metabolomics / metabonomics:0.0,Systems biology:0.0",,"All options are irrelevant. The paper focuses on robotic control for cardiac surgery, which is more related to robotics and control systems than health informatics or biology."
1625,Long Term Evaluation of the CancerNet WWW Service,"To improve the quality of healthcare, we offer access to high quality guidelines to physicians as well as information harmonized with these guidelines to concerned patients via internet. We launched this service in 1994. Since then, we have been offering user-friendly access to the NCI's CancerNet via WWW (http://www.meb.uni-bonn.de/). Among other information, CancerNet by the National Cancer Institute contains up-to-date summaries on the prognosis, staging, and treatment of more than 80 major tumor types. To obtain information about how users navigate through this service, all users' activities are logged by using cookies for tracking them without injuring privacy. To get additional information about our users and their interests regarding our service, we performed user surveys in 1996 and 1997. The analysis of 538 valid answers in 1996 and 1001 in 1997 show that the attempt to bring high quality information and guidelines to physicians and patients was successful. About 95% of our users rated our service excellent or good"".""""""","General and reference:0,Hardware:0,Computer systems organization:0,Networks:0,Software and its engineering:1,Theory of computation:0,Mathematics of computing:0,Information systems:0.8,Security and privacy:0,Human-centered computing:0.5,Computing methodologies:0,Applied computing:1,Social and professional topics:0",Applied computing,"Applied computing: The paper evaluates a healthcare information service. Information systems: The paper discusses WWW service and user tracking. Human-centered computing: Only marginally relevant as the focus is on service evaluation, not user interaction design.","Arts and humanities:0.1,Computer forensics:0.1,Computers in other domains:0.9,Document management and text processing:0.3,Education:0.2,Electronic commerce:0.1,Enterprise computing:0.3,Law, social and behavioral sciences:0.1,Life and medical sciences:0.8,Operations research:0.1,Physical sciences and engineering:0.1","Computers in other domains,Life and medical sciences",Computers in other domains is highly relevant as the paper discusses healthcare information systems. Life and medical sciences is relevant due to the focus on cancer information. Other categories like Education or Enterprise computing are secondary to the core contribution.,"Agriculture:0.0,Bioinformatics:0.0,Cartography:0.0,Computational biology:0.0,Computing in government:0.0,Consumer health:0.5,Digital libraries and archives:0.75,Genetics:0.0,Genomics:0.0,Health care information systems:1.0,Health informatics:1.0,Metabolomics / metabonomics:0.0,Military:0.0,Personal computers and PC applications:0.0,Publishing:0.0,Systems biology:0.0","Health care information systems,Health informatics",Health care information systems (1.0): The paper evaluates a healthcare information delivery system. Health informatics (1.0): Focuses on information systems for clinicians and patients. Digital libraries (0.75): The service functions as a digital library for medical guidelines.
2698,SuperCloud: economical cloud service on multiple vendors,"Today, Infrastructure-as-a-Service (IaaS) cloud providers such as Amazon's Elastic Compute Engine (EC2), Google's Compute Engine, and Microsoft's Azure offer elastic and isolated compute resources via virtualization and users often choose one of these providers based on price, locality, performance, and features. Typically, a user will choose the same provider for computation and storage to minimize latency and networking costs. Unfortunately, it can be difficult to switch providers once one is selected due to vendor lock-in [2].","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.3,Software and its engineering:0.2,Theory of computation:0.1,Mathematics of computing:0.2,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.2,Computing methodologies:0.2,Applied computing:0.9,Social and professional topics:0.1",Applied computing,"Applied computing: The paper addresses cloud service management across vendors, a practical application of distributed systems. Other categories like Networks are secondary as the focus is on service economics and vendor lock-in, not low-level infrastructure.","Arts and humanities:0.0,Computer forensics:0.0,Computers in other domains:0.0,Document management and text processing:0.0,Education:0.0,Electronic commerce:0.5,Enterprise computing:1.0,Law, social and behavioral sciences:0.0,Life and medical sciences:0.0,Operations research:0.0,Physical sciences and engineering:0.0",Enterprise computing,Enterprise computing is relevant for the discussion of cloud services and vendor lock-in. Electronic commerce is less relevant as the focus is on cloud services rather than commerce. Other fields are not directly relevant.,"Business process management:0.2,Business rules:0.1,Business-IT alignment:0.3,Enterprise architectures:0.4,Enterprise computing infrastructures:0.8,Enterprise data management:0.2,Enterprise information systems:0.3,Enterprise interoperability:0.4,Enterprise modeling:0.2,Enterprise ontologies, taxonomies and vocabularies:0.1,Event-driven architectures:0.1,IT architectures:0.6,IT governance:0.2,Reference models:0.3,Service-oriented architectures:0.9","Enterprise computing infrastructures,Service-oriented architectures","Enterprise computing infrastructures: The paper addresses multi-vendor cloud service integration, a core infrastructure challenge. Service-oriented architectures: SuperCloud leverages SOA principles to abstract and manage cross-vendor services."
4407,Functional annotation of proteomic sequences based on consensus of sequence and structural analysis,"To maximise the assignment of function of the proteins encoded by a genome and to aid the search for novel drug targets, there is an emerging need for sensitive methods of predicting protein function on a genome-wide basis. GeneAtlas is an automated, high-throughput pipeline for the prediction of protein structure and function using sequence similarity detection, homology modelling and fold recognition methods. GeneAtlas is described in detail here. To test GeneAtlas, a 'virtual' genome was used, a subset of PDB structures from the SCOP database, in which the functional relationships are known. GeneAtlas detects additional relationships by building 3D models in comparison with the sequence searching method PSI-BLAST. Functionally related proteins with sequence identity below the twilight zone can be recognised correctly.","General and reference:0,Hardware:0,Computer systems organization:0,Networks:0,Software and its engineering:0,Theory of computation:0,Mathematics of computing:0,Information systems:0,Security and privacy:0,Human-centered computing:0,Computing methodologies:0,Applied computing:1,Social and professional topics:0",Applied computing,Applied computing is relevant because the paper presents a computational pipeline (GeneAtlas) for predicting protein function in biological contexts. Other categories like 'Software and its engineering' or 'Mathematics of computing' are not directly relevant to the core contribution of applying computational methods to biological data.,"Arts and humanities:0.0,Computer forensics:0.0,Computers in other domains:0.0,Document management and text processing:0.0,Education:0.0,Electronic commerce:0.0,Enterprise computing:0.0,Law, social and behavioral sciences:0.0,Life and medical sciences:0.9,Operations research:0.0,Physical sciences and engineering:0.0",Life and medical sciences,Life and medical sciences is highly relevant for the proteomic sequence annotation in drug target discovery. Other categories like 'Computers in other domains' are less directly aligned with the core bioinformatics application.,"Bioinformatics:1.0,Computational biology:1.0,Consumer health:0.4,Genetics:0.7,Genomics:0.7,Health care information systems:0.2,Health informatics:0.3,Metabolomics / metabonomics:0.2,Systems biology:0.9","Bioinformatics,Computational biology,Systems biology",Bioinformatics and Computational biology are central to protein function prediction. Systems biology is secondary. Other categories are less relevant.
2914,Road slope and vehicle mass estimation for light commercial vehicle using linear Kalman filter and RLS with forgetting factor integrated approach,"This paper explains application of Kalman filter theory and recursive least squares algorithm with forgetting factor on real time estimation problem of light commercial vehicle mass and road grade on which motor vehicle moves. After a brief survey on mass and slope estimating in literature, there are proposed algorithms theoretical approaches and implementations on a real-time ECU. The test data are obtained from urban, extra-urban and highway experiments with prototypal vehicles.","General and reference:0.05,Hardware:0.05,Computer systems organization:0.05,Networks:0.05,Software and its engineering:0.05,Theory of computation:0.05,Mathematics of computing:0.15,Information systems:0.05,Security and privacy:0.05,Human-centered computing:0.05,Computing methodologies:0.15,Applied computing:0.8,Social and professional topics:0.05",Applied computing,"Applied computing is relevant for engineering applications in vehicle systems and real-time control. Mathematics of computing applies to the algorithms used (Kalman filter, RLS), but the primary domain is engineering systems.","Arts and humanities:0.1,Computer forensics:0.1,Computers in other domains:0.1,Document management and text processing:0.1,Education:0.1,Electronic commerce:0.1,Enterprise computing:0.1,Law, social and behavioral sciences:0.1,Life and medical sciences:0.1,Operations research:0.1,Physical sciences and engineering:0.9",Physical sciences and engineering,"Physical sciences and engineering: The paper presents a vehicle dynamics estimation system using Kalman filters and RLS algorithms, which are core to engineering applications. Other categories are irrelevant as the focus is on control systems and real-time estimation, not data management or AI.","Aerospace:0.1,Archaeology:0.1,Astronomy:0.1,Chemistry:0.1,Earth and atmospheric sciences:0.1,Electronics:1.0,Engineering:1.0,Mathematics and statistics:0.3,Physics:0.1,Telecommunications:0.1","Engineering,Electronics",Engineering: Vehicle mass and slope estimation is an engineering problem. Electronics: Kalman filter implementation on ECU (electronic control unit) is an electronics application. Other categories like 'Mathematics and statistics' are secondary as the focus is on real-world implementation.
4774,Metrological Performances of a Plantar Pressure Measurement System,"Plantar pressure measurements provide useful information to diagnose a diverse range of foot disorders; unfortunately, the commercially available measurement systems are undesirably sensitive to several disturbances, but this aspect is mostly neglected in the literature. This paper describes the results of an experimental campaign aiming at the identification of pressure measuring system metrological performances, at system modeling, and at the implementation of correction procedures. The sensor model was implemented using the results of static and dynamic tests performed on a pedar-X plantar pressure measurement system. The static calibration was performed by analyzing the effect of temperature, single sensor coverage area, local curvature, tangential forces, long-term stability (creep), and sensor crosstalk on the system performances. The dynamic calibration was performed on an electrodynamic shaker, identifying the single sensor frequency response function and the hysteresis under different average loads. The dynamic sensor model is based on the Kelvin-Voigt model, which is representative of the viscoelastic behavior of the material. The model allowed us to compensate both the creep (i.e., the behavior under static loads) and the nonunitary frequency response function. A deconvolution-based algorithm has been proposed to compensate the sensor crosstalk effects, although its implementation requires additional investigations. Experimental results of bobbing and gait tests showed that, with the adoption of the proposed compensation algorithms, the force and center of pressure errors could be reduced by more than 50% of their initial values.","General and reference:0.0,Hardware:0.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.65,Applied computing:0.8,Social and professional topics:0.0",Applied computing,"Applied computing is relevant due to the practical focus on medical sensor systems and their correction algorithms. Computing methodologies received a moderate score for the algorithmic modeling techniques used, but the primary domain is applied.","Arts and humanities:0.1,Computer forensics:0.1,Computers in other domains:0.1,Document management and text processing:0.1,Education:0.1,Electronic commerce:0.1,Enterprise computing:0.1,Law, social and behavioral sciences:0.1,Life and medical sciences:0.8,Operations research:0.1,Physical sciences and engineering:0.6","Life and medical sciences,Physical sciences and engineering",Life and medical sciences is relevant for the application in foot disorder diagnosis. Physical sciences and engineering applies to sensor metrology. Other categories like Education are irrelevant.,"Aerospace:0,Archaeology:0,Astronomy:0,Bioinformatics:0,Chemistry:0,Computational biology:0,Consumer health:1,Earth and atmospheric sciences:0,Electronics:0,Engineering:1,Genetics:0,Genomics:0,Health care information systems:0,Health informatics:1,Mathematics and statistics:0,Metabolomics / metabonomics:0,Physics:0,Systems biology:0,Telecommunications:0","Consumer health,Engineering,Health informatics",Consumer health is relevant as the paper addresses plantar pressure measurement for diagnosing foot disorders. Engineering aligns with the sensor system's design and calibration. Health informatics is relevant due to the focus on medical metrology. Other children like bioinformatics or genomics are not central to the paper's contribution.
1079,Modeling and Simulation of DIGSILENT-based Micro-grid System,"The accurate modeling of micro-grid access to power system planning and design stage needs is the primary problem to solve. This paper modeled the micro grid photovoltaic power generation system ,including silicon solar cell, photovoltaic inverters, battery energy storage system, and the micro power distribution system .The use of power system analysis software (DIGSILENT) of actual power system simulation, the simulation results verify the model's correctness. In the power grid fault disturbance, the light intensity of disturbance and the load disturbances, the simulation results show that the optical storage combined with micro network has fast dynamic response characteristics, and its network of grid-connected voltage influenced by the changes of the light and load is little, while more affected by the network fault influence. DOI :  http://dx.doi.org/10.11591/telkomnika.v12i6.5471 Full Text: PDF","General and reference:0.1,Hardware:0.2,Computer systems organization:0.1,Networks:0.3,Software and its engineering:0.2,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.3,Applied computing:0.8,Social and professional topics:0.1",Applied computing,"Applied computing is relevant as the paper focuses on power system simulation for micro-grid design. Networks and Computing methodologies are less relevant since the core contribution is applied to power engineering, not general networking or algorithmic methodologies.","Arts and humanities:0.0,Computer forensics:0.0,Computers in other domains:0.25,Document management and text processing:0.0,Education:0.0,Electronic commerce:0.0,Enterprise computing:0.0,Law, social and behavioral sciences:0.0,Life and medical sciences:0.0,Operations research:0.0,Physical sciences and engineering:1.0",Physical sciences and engineering,"Physical sciences and engineering: The paper presents a power system simulation model for micro-grid systems, which falls under engineering applications in the physical sciences domain.","Aerospace:0,Archaeology:0,Astronomy:0,Chemistry:0,Earth and atmospheric sciences:0,Electronics:1,Engineering:1,Mathematics and statistics:0,Physics:0,Telecommunications:0","Engineering,Electronics",Engineering is relevant for system modeling and simulation of micro-grids. Electronics is relevant for photovoltaic and power electronics components. Telecommunications and other fields are not mentioned in the context.
3422,"Research Commentary - Cooperation, Coordination, and Governance in Multisourcing: An Agenda for Analytical and Empirical Research","Multisourcing, the practice of stitching together best-of-breed IT services from multiple, geographically dispersed service providers, represents the leading edge of modern organizational forms. While major strides have been achieved in the last decade in the information systems (IS) and strategic management literature in improving our understanding of outsourcing, the focus has been on a dyadic relationship between a client and a vendor. We demonstrate that a straightforward extrapolation of such a dyadic relationship falls short of addressing the nuanced incentive-effort-output linkages that arise when multiple vendors, who are competitors, have to cooperate and coordinate to achieve the client's business objectives. We suggest that when multiple vendors have to work together to deliver end-to-end services to a client, the choice of formal incentives and relational governance mechanisms depends on the degree of interdependence between the various tasks as well as the observability and verifiability of output. With respect to cooperation, we find that a vendor must not only put effort in a “primary” task it is responsible for but also cooperate through “helping” effort in enabling other vendors perform their primary tasks. In the context of coordination, we find that task redesign for modularity, OLAs, and governance structures such as the guardian vendor model represent important avenues for further research. Based on the analysis of actual multisourcing contract details over the last decade, interviews with leading practitioners, and a review of the single-sourcing literature, we lay a foundation for normative theories of multisourcing and present a research agenda in this domain.","General and reference:0.0,Hardware:0.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.0,Applied computing:1.0,Social and professional topics:0.1",Applied computing,"The paper addresses IT service governance and organizational strategies for multisourcing, fitting Applied computing. Social and professional topics is only relevant for minor managerial aspects.","Enterprise computing:0.8,Operations research:0.65,Law, social and behavioral sciences:0.3,Education:0.2,Electronic commerce:0.2,Document management and text processing:0.1,Life and medical sciences:0.1,Physical sciences and engineering:0.1,Arts and humanities:0.1,Computer forensics:0.1,Computers in other domains:0.1","Enterprise computing,Operations research",Enterprise computing is directly relevant to multisourcing in IT services. Operations research connects to the coordination models discussed. Social sciences and other categories are less central to the technical governance analysis.,"Business process management:0.7,Business rules:0.3,Business-IT alignment:0.5,Computer-aided manufacturing:0.1,Consumer products:0.1,Decision analysis:0.4,Enterprise architectures:0.5,Enterprise computing infrastructures:0.3,Enterprise data management:0.4,Enterprise information systems:0.8,Enterprise interoperability:0.6,Enterprise modeling:0.5,Enterprise ontologies, taxonomies and vocabularies:0.3,Event-driven architectures:0.2,Forecasting:0.1,IT architectures:0.4,IT governance:1,Industry and manufacturing:0.2,Marketing:0.1,Reference models:0.3,Service-oriented architectures:0.4,Transportation:0.1","Enterprise information systems,IT governance",Enterprise information systems is highly relevant as the paper discusses multisourcing in IT services. IT governance is directly relevant for the analysis of governance mechanisms. Business process management is moderately relevant for coordination challenges. Other categories are rejected as the focus is on governance rather than service architectures or modeling.
5470,A regulation strategy for virtual power plant,"A large number of batteries and gas generators in a virtual power plant (VPP) can achieve high profits by providing high-quality frequency regulation services. Therefore, the virtual power plant will participate in the regulation market for those batteries and gas generators. However, uncertainty of intermittent energy in VPP will damage the performance score in settlement and decrease the benefit of VPP. In order to give full play to the high-quality regulation services of VPP, this paper introduces a regulation mechanism for VPP, and we propose a calculation method of VPP's frequency performance. To reduce the influence of fluctuation of intermittent power and load on VPP's regulation performance, an improved VPP regulation control strategy is proposed. Finally, the results show the effectiveness of the control strategy.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.75,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.1,Applied computing:1.0,Social and professional topics:0.1",Applied computing,Applied computing is directly relevant as the paper focuses on practical regulation strategies for virtual power plants in energy markets. Other fields like Mathematics of computing are only tangentially related to the optimization methods used.,"Arts and humanities:0.1,Computer forensics:0.1,Computers in other domains:0.6,Document management and text processing:0.1,Education:0.1,Electronic commerce:0.2,Enterprise computing:0.5,Law, social and behavioral sciences:0.1,Life and medical sciences:0.1,Operations research:1.0,Physical sciences and engineering:0.8","Operations research,Computers in other domains,Physical sciences and engineering",Operations research is highly relevant for the optimization of VPP regulation strategies. Computers in other domains is relevant for applying computational methods to energy systems. Physical sciences and engineering is relevant for the technical implementation of power systems. Other categories like Education or Law are irrelevant as the paper focuses on technical optimization rather than social or educational aspects.,"Aerospace:0,Agriculture:0,Archaeology:0,Astronomy:0,Cartography:0,Chemistry:0,Computer-aided manufacturing:0,Computing in government:0,Consumer products:0,Decision analysis:0,Digital libraries and archives:0,Earth and atmospheric sciences:0,Electronics:0,Engineering:1,Forecasting:0.5,Industry and manufacturing:1,Marketing:0,Mathematics and statistics:0,Military:0,Personal computers and PC applications:0,Physics:0,Publishing:0,Telecommunications:0,Transportation:0","Engineering,Industry and manufacturing","Engineering: The paper addresses control strategies for energy systems in virtual power plants. Industry and manufacturing: VPPs are industrial systems for energy management. 'Forecasting' is only moderately relevant if the control strategy uses predictive models, but the paper focuses on regulation rather than prediction."
4045,Human Dorsal Striatum Encodes Prediction Errors during Observational Learning of Instrumental Actions,"The dorsal striatum plays a key role in the learning and expression of instrumental reward associations that are acquired through direct experience. However, not all learning about instrumental actions require direct experience. Instead, humans and other animals are also capable of acquiring instrumental actions by observing the experiences of others. In this study, we investigated the extent to which human dorsal striatum is involved in observational as well as experiential instrumental reward learning. Human participants were scanned with fMRI while they observed a confederate over a live video performing an instrumental conditioning task to obtain liquid juice rewards. Participants also performed a similar instrumental task for their own rewards. Using a computational model-based analysis, we found reward prediction errors in the dorsal striatum not only during the experiential learning condition but also during observational learning. These results suggest a key role for the dorsal striatum in learning instrumental associations, even when those associations are acquired purely by observing others.","General and reference:0.0,Hardware:0.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.0,Applied computing:1.0,Social and professional topics:0.0",Applied computing,Applied computing is relevant because the paper applies computational modeling techniques to neuroscience research. The study itself is primarily about human learning mechanisms rather than core computer science topics like algorithms or systems.,"Arts and humanities:0.1,Computer forensics:0.1,Computers in other domains:0.1,Document management and text processing:0.1,Education:0.1,Electronic commerce:0.1,Enterprise computing:0.1,Law, social and behavioral sciences:0.1,Life and medical sciences:0.9,Operations research:0.1,Physical sciences and engineering:0.1",Life and medical sciences,Life and medical sciences is relevant as the study investigates neurological processes in the human dorsal striatum. Other categories like Computer forensics are entirely unrelated to neuroscience research.,"Bioinformatics:0.1,Computational biology:0.1,Genetics:0.1,Health informatics:0.1",,None of the options are relevant: The paper focuses on neuroscience (dorsal striatum) rather than computational methods in biology or health informatics.
6057,Multi-AUV Target Search Based on Bioinspired Neurodynamics Model in 3-D Underwater Environments,"Target search in 3-D underwater environments is a challenge in multiple autonomous underwater vehicles (multi-AUVs) exploration. This paper focuses on an effective strategy for multi-AUV target search in the 3-D underwater environments with obstacles. First, the Dempster-Shafer theory of evidence is applied to extract information of environment from the sonar data to build a grid map of the underwater environments. Second, a topologically organized bioinspired neurodynamics model based on the grid map is constructed to represent the dynamic environment. The target globally attracts the AUVs through the dynamic neural activity landscape of the model, while the obstacles locally push the AUVs away to avoid collision. Finally, the AUVs plan their search path to the targets autonomously by a steepest gradient descent rule. The proposed algorithm deals with various situations, such as static targets search, dynamic targets search, and one or several AUVs break down in the 3-D underwater environments with obstacles. The simulation results show that the proposed algorithm is capable of guiding multi-AUV to achieve search task of multiple targets with higher efficiency and adaptability compared with other algorithms.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.3,Theory of computation:0.2,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.4,Applied computing:0.9,Social and professional topics:0.1",Applied computing,Applied computing is relevant as the paper presents an algorithm for multi-AUV target search in underwater environments. Other categories are less relevant as the focus is on real-world robotic applications rather than theoretical computing or software engineering.,"Arts and humanities:0.05,Computer forensics:0.05,Computers in other domains:0.7,Document management and text processing:0.05,Education:0.05,Electronic commerce:0.05,Enterprise computing:0.05,Law, social and behavioral sciences:0.05,Life and medical sciences:0.05,Operations research:0.1,Physical sciences and engineering:0.6,Symbolic and algebraic manipulation:0.05","Computers in other domains,Physical sciences and engineering",Computers in other domains: The underwater AUV application is a domain-specific use case. Physical sciences and engineering: The paper focuses on 3D underwater navigation and obstacle avoidance. Other categories are irrelevant to the robotics context.,"Aerospace:0.0,Agriculture:0.0,Archaeology:0.0,Astronomy:0.0,Cartography:0.0,Chemistry:0.0,Computing in government:0.0,Digital libraries and archives:0.0,Earth and atmospheric sciences:0.0,Electronics:1.0,Engineering:1.0,Mathematics and statistics:0.2,Military:0.0,Personal computers and PC applications:0.0,Physics:0.0,Publishing:0.0,Telecommunications:0.0","Engineering,Electronics",Engineering is relevant for multi-AUV system design. Electronics is central for CMOS filter implementation. Other application domains are not addressed.
5159,Creating Hybrid Instruction: A Lens for Defining Exemplary Teaching in Distance Learning,"The Military Career Transition Program (MCTP) at Old Dominion University (Virginia) is the primary alternative certification program for teacher licensure targeting military personnel who are transitioning into education careers. Beginning in the fall of 1998, the MCTP added distance learning to its existing course offerings at 5 of its 15 sites. These courses follow a hybrid instructional model that includes VTEL and World Wide Web assisted instruction. Broadcast instructors and instructional facilitators at each distance learning site are utilized to facilitate collaborative, problem-based learning. This paper describes the evolution of the MCTP distance learning effort and examines the progression of strategic decision making involving the issues of course integrity, exemplary instructional methodology, and student accountability. (Author/MES) Reproductions supplied by EDRS are the best that can be made from the original document. Creating Hybrid Instruction: A Lens for Defining Exemplary Teaching in Distance Learning Alexandria Forte-Turner Military Career Transition Program, Darden College of Education, Old Dominion University, Norfolk, Virginia, USA. E-mail: aforte@odu.edu Lynn Schultz Educational Curriculum and Instruction, Darden College of Education, Old Dominion University, Norfolk, Virginia, USA. E-mail: llschult@odu.edu Linda Miller-Dunleavy Early Childhood/Speech and Language Pathology/Special Education, Darden College of Education, Old Dominion University, Norfolk, Virginia, USA. E-mail: lmillerd@odu.edu Abstract: The Military Career Transition Program (MCTP) at Old Dominion University is the primary alternative certification program for teacher licensure targeting military personnel who are transitioning into education careers. Beginning Fall 1998, the MCTP added distance learning to its existing course offerings at five of its fifteen sites. These courses follow a hybrid instructional model, which include VTEL and web assisted instruction. Broadcast instructors and instructional facilitators at each distance learning site are utilized to facilitate collaborative; problem-based learning. This paper describes the evolution of the MCTP distance learning effort and examines the progression of strategic decision making involving the issues of course integrity, exemplary instructional methodology, and student accountability. The Military Career Transition Program (MCTP) at Old Dominion University is the primary alternative certification program for teacher licensure targeting military personnel who are transitioning into education careers. Beginning Fall 1998, the MCTP added distance learning to its existing course offerings at five of its fifteen sites. These courses follow a hybrid instructional model, which include VTEL and web assisted instruction. Broadcast instructors and instructional facilitators at each distance learning site are utilized to facilitate collaborative; problem-based learning. This paper describes the evolution of the MCTP distance learning effort and examines the progression of strategic decision making involving the issues of course integrity, exemplary instructional methodology, and student accountability.","General and reference:0.1,Hardware:0.1,Computer systems organization:0.1,Networks:0.1,Software and its engineering:0.1,Theory of computation:0.1,Mathematics of computing:0.1,Information systems:0.1,Security and privacy:0.1,Human-centered computing:0.1,Computing methodologies:0.1,Applied computing:1.0,Social and professional topics:0.5",Applied computing,Applied computing is directly relevant for distance learning systems in education. 'Social and professional topics' is only marginally relevant for pedagogical discussions.,"Arts and humanities:0.2,Computer forensics:0.2,Computers in other domains:0.5,Document management and text processing:0.2,Education:1.0,Electronic commerce:0.2,Enterprise computing:0.3,Law, social and behavioral sciences:0.4,Life and medical sciences:0.2,Operations research:0.3,Physical sciences and engineering:0.2",Education,Education is the primary domain as the paper focuses on hybrid instructional models for teacher training. Other categories like computers in other domains are less directly relevant as the paper emphasizes pedagogical methodology over technical systems.,"Collaborative learning:0.8,Computer-assisted instruction:0.6,Computer-managed instruction:0.4,Digital libraries and archives:0.2,Distance learning:1.0,E-learning:0.7,Interactive learning environments:0.5,Learning management systems:0.3","Distance learning,Collaborative learning",Distance learning is directly addressed as the primary focus of the paper. Collaborative learning is relevant due to the use of broadcast instructors and facilitators for problem-based learning. Other children like E-learning or Learning management systems are too specific or less central.
1769,Smart Gateway Grid: A DG-Based Residential Electric Power Supply System,"This paper presents a smart residential electric power supply system, which is named smart gateway grid (SGG). It can enable residential distributed generations (DGs) and energy storage system (ESS) to participate in system operation, which will improve the reliability of power supply and help households secure a high quality service while reducing the cost of consumption. The SGG operation modes and associated transition strategies are analyzed in the paper. And the control strategy is developed to guarantee the whole system operating satisfactorily. To meet the demand of the typical U.S. household, a low cost and high efficiency SGG configuration is designed as a case study. Finally, analysis, simulation, and experimental results are presented and they show that the proposed SGG has the attractive features.","General and reference:0.0,Hardware:0.0,Computer systems organization:0.0,Networks:0.0,Software and its engineering:0.0,Theory of computation:0.0,Mathematics of computing:0.0,Information systems:0.0,Security and privacy:0.0,Human-centered computing:0.0,Computing methodologies:0.0,Applied computing:1.0,Social and professional topics:0.0",Applied computing,Applied computing is highly relevant as the paper focuses on a smart grid system for residential power supply. Other categories are not central to the paper's core contribution.,"Arts and humanities:0.0,Computer forensics:0.0,Computers in other domains:1.0,Document management and text processing:0.0,Education:0.0,Electronic commerce:0.0,Enterprise computing:0.0,Law, social and behavioral sciences:0.0,Life and medical sciences:0.0,Operations research:0.0,Physical sciences and engineering:0.5","Computers in other domains,Physical sciences and engineering",Computers in other domains is directly relevant as the paper applies computer-based control strategies to smart grid systems. Physical sciences and engineering is moderately relevant due to the focus on power systems. Other categories like Education or Enterprise computing are not mentioned.,"Aerospace:0.1,Agriculture:0.1,Archaeology:0.1,Astronomy:0.1,Cartography:0.1,Chemistry:0.1,Computing in government:0.1,Digital libraries and archives:0.1,Earth and atmospheric sciences:0.1,Electronics:0.5,Engineering:0.8,Mathematics and statistics:0.3,Military:0.1,Personal computers and PC applications:0.2,Physics:0.2,Publishing:0.1,Telecommunications:0.3",Engineering,Engineering: The paper presents a smart grid system design and analysis. Electronics has moderate relevance due to power system components. Other fields like Mathematics or Physics are not primary domains of the work.
